,STATE OR UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls 
765,UTTAR PRADESH,SONBHADRA,2015,23,24,21,18,0,5,0
766,UTTAR PRADESH,BHADOHI,2015,12,34,11,12,0,1,0
767,UTTAR PRADESH,SULTANPUR,2015,33,129,16,60,0,0,0
768,UTTAR PRADESH,UNNAO,2015,42,207,53,162,0,137,0
769,UTTAR PRADESH,VARANASI,2015,79,183,27,163,0,0,0
770,UTTAR PRADESH,TOTAL DISTRICT(S),2015,3025,10135,2335,7885,11,8660,0
771,UTTARAKHAND,ALMORA,2015,6,21,1,1,0,3,0
772,UTTARAKHAND,BAGESHWAR,2015,7,10,2,8,0,4,0
773,UTTARAKHAND,CHAMOLI,2015,4,21,0,5,0,5,0
774,UTTARAKHAND,CHAMPAWAT,2015,4,4,0,3,0,2,1
775,UTTARAKHAND,DEHRADUN,2015,57,26,11,71,1,168,0
776,UTTARAKHAND,HARIDWAR,2015,75,76,13,88,2,64,0
777,UTTARAKHAND,NAINITAL,2015,32,28,4,48,0,23,0
778,UTTARAKHAND,PAURI GARHWAL,2015,4,24,3,12,0,3,0
779,UTTARAKHAND,PITHORAGARH,2015,0,7,1,3,0,7,0
780,UTTARAKHAND,RUDRA PRAYAG,2015,2,0,2,1,1,2,0
781,UTTARAKHAND,TEHRI GARHWAL,2015,8,16,3,1,0,3,0
782,UTTARAKHAND,UDHAMSINGH NAGAR,2015,72,94,14,72,0,120,1
783,UTTARAKHAND,UTTARKASHI,2015,12,9,0,5,8,3,0
784,UTTARAKHAND,TOTAL DISTRICT(S),2015,283,336,54,318,12,407,2
785,WEST BENGAL,NORTH 24 PARGANAS,2015,69,383,45,302,20,1748,0
786,WEST BENGAL,SOUTH 24 PARGANAS,2015,111,375,31,250,18,3160,0
787,WEST BENGAL,ALIPURDUAR,2015,33,76,7,118,2,287,0
788,WEST BENGAL,ASANSOL-DURGAPUR PC,2015,35,71,17,103,2,417,0
789,WEST BENGAL,BANKURA,2015,24,76,14,121,7,333,0
790,WEST BENGAL,BARRACKPUR PC,2015,30,137,23,318,9,1201,0
791,WEST BENGAL,BIDHANNAGAR PC,2015,12,18,6,150,11,308,0
792,WEST BENGAL,BIRBHUM,2015,33,28,15,104,3,292,0
793,WEST BENGAL,BURDWAN,2015,55,172,21,247,0,707,0
794,WEST BENGAL,COOCHBEHAR,2015,63,177,15,131,4,640,0
795,WEST BENGAL,DAKSHIN DINAJPUR,2015,16,97,18,101,4,293,0
796,WEST BENGAL,DARJEELING,2015,17,35,3,129,4,201,0
797,WEST BENGAL,HOOGHLY,2015,36,169,36,209,1,1142,0
798,WEST BENGAL,HOWRAH G R P,2015,3,4,0,14,0,1,0
799,WEST BENGAL,HOWRAH PC,2015,13,49,4,234,33,514,0
800,WEST BENGAL,HOWRAH RURAL,2015,22,100,10,149,0,810,0
801,WEST BENGAL,JALPAIGURI,2015,53,176,18,124,5,329,0
802,WEST BENGAL,JHARGRAM POLICE DISTRICT,2015,8,26,7,63,0,97,0
803,WEST BENGAL,KHARAGPUR G R P,2015,1,0,1,8,0,2,0
804,WEST BENGAL,KOLKATA,2015,33,194,15,461,262,876,2
805,WEST BENGAL,MALDA,2015,60,241,26,179,6,577,0
806,WEST BENGAL,MURSHIDABAD,2015,210,298,41,255,18,1771,0
807,WEST BENGAL,NADIA,2015,69,395,57,80,2,1553,1
808,WEST BENGAL,PASCHIM MEDINIPUR,2015,37,208,31,577,11,756,0
809,WEST BENGAL,PURAB MEDINIPUR,2015,50,116,21,99,5,965,0
810,WEST BENGAL,PURULIA,2015,24,30,6,292,1,161,0
811,WEST BENGAL,SEALDAH G R P,2015,0,8,0,26,7,3,0
812,WEST BENGAL,SILIGURI G R P,2015,0,0,0,11,0,0,0
813,WEST BENGAL,SILIGURI PC,2015,32,207,6,157,15,505,0
814,WEST BENGAL,UTTAR DINAJPUR,2015,50,72,4,57,5,514,1
815,WEST BENGAL,TOTAL DISTRICT(S),2015,1199,3938,498,5069,455,20163,4
816,A AND N ISLANDS,SOUTH ANDAMAN,2015,20,11,0,29,4,12,0
817,A AND N ISLANDS,NORTH AND MIDDLE ANDAMAN,2015,15,10,0,25,1,2,0
818,A AND N ISLANDS,NICOBAR,2015,1,0,0,3,0,0,0
819,A AND N ISLANDS,TOTAL DISTRICT(S),2015,36,21,0,57,5,14,0
820,CHANDIGARH,CHANDIGARH,2015,72,165,5,76,10,126,0
821,CHANDIGARH,TOTAL DISTRICT(S),2015,72,165,5,76,10,126,0
822,D AND N HAVELI,D AND N HAVELI,2015,8,9,1,5,0,2,0
823,D AND N HAVELI,TOTAL DISTRICT(S),2015,8,9,1,5,0,2,0
824,DAMAN AND DIU,DAMAN,2015,4,10,0,7,0,1,0
825,DAMAN AND DIU,DIU,2015,1,3,0,0,0,2,0
826,DAMAN AND DIU,TOTAL DISTRICT(S),2015,5,13,0,7,0,3,0
827,DELHI UT,CENTRAL,2015,85,188,4,256,71,110,0
828,DELHI UT,CRIME BRANCH,2015,2,1,0,0,0,0,0
829,DELHI UT,EAST,2015,239,448,6,588,214,414,0
830,DELHI UT,EOW,2015,0,0,0,6,0,0,0
831,DELHI UT,IGI AIRPORT,2015,1,2,0,11,6,0,0
832,DELHI UT,METRO,2015,4,1,0,15,2,1,0
833,DELHI UT,NEW DELHI,2015,22,26,0,48,12,6,0
834,DELHI UT,NORTH,2015,48,160,2,173,14,114,0
835,DELHI UT,NORTH-EAST,2015,244,533,13,486,40,469,0
836,DELHI UT,NORTH-WEST,2015,172,373,14,400,80,285,0
837,DELHI UT,OUTER,2015,315,652,28,536,180,563,0
838,DELHI UT,RAILWAY,2015,15,9,0,13,3,0,0
839,DELHI UT,SOUTH,2015,323,495,10,1183,520,172,0
840,DELHI UT,SOUTH-EAST,2015,240,475,14,559,141,300,0
841,DELHI UT,SOUTH-WEST,2015,217,413,13,606,107,397,0
842,DELHI UT,SPL CELL,2015,0,0,0,1,0,0,0
843,DELHI UT,SPUWAC,2015,0,0,0,0,0,157,0
844,DELHI UT,VIGILANCE,2015,0,0,0,0,0,0,0
845,DELHI UT,WEST,2015,272,525,18,486,102,533,0
846,DELHI UT,TOTAL DISTRICT(S),2015,2199,4301,122,5367,1492,3521,0
847,LAKSHADWEEP,LAKSHADWEEP,2015,0,0,0,6,1,2,0
848,LAKSHADWEEP,TOTAL DISTRICT(S),2015,0,0,0,6,1,2,0
849,PUDUCHERRY,KARAIKAL,2015,0,1,0,8,3,0,0
850,PUDUCHERRY,PUDUCHERRY,2015,3,13,1,25,7,4,0
851,PUDUCHERRY,TOTAL DISTRICT(S),2015,3,14,1,33,10,4,0
