STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
UTTAR PRADESH,PRATAPGARH,2013,66,157,30,151,0,39,0
UTTAR PRADESH,RAIBAREILLY,2013,43,104,23,66,0,72,0
UTTAR PRADESH,RAMPUR,2013,26,93,19,46,0,119,0
UTTAR PRADESH,SAHARANPUR,2013,34,137,34,90,0,198,0
UTTAR PRADESH,SAMBHAL,2013,42,112,30,94,0,88,0
UTTAR PRADESH,SANT KABIRNAGAR,2013,23,60,5,17,0,8,0
UTTAR PRADESH,SHAHJAHANPUR,2013,36,116,43,104,0,142,0
UTTAR PRADESH,SHAMLI,2013,34,87,11,66,0,52,0
UTTAR PRADESH,SHRAWASTI,2013,21,50,18,53,0,0,0
UTTAR PRADESH,SIDHARTHNAGAR,2013,17,59,8,26,0,33,0
UTTAR PRADESH,SITAPUR,2013,95,256,63,211,0,130,0
UTTAR PRADESH,SONBHADRA,2013,32,17,13,22,0,12,0
UTTAR PRADESH,ST.RAVIDASNAGAR,2013,10,18,13,15,0,19,0
UTTAR PRADESH,SULTANPUR,2013,29,107,15,87,0,111,0
UTTAR PRADESH,UNNAO,2013,41,173,44,119,0,190,0
UTTAR PRADESH,VARANASI,2013,57,208,36,207,3,347,0
UTTAR PRADESH,ZZ TOTAL,2013,3050,9737,2335,7303,25,8781,0
UTTARAKHAND,ALMORA,2013,8,18,2,7,3,9,0
UTTARAKHAND,BAGESHWAR,2013,2,4,1,3,1,2,0
UTTARAKHAND,CHAMOLI,2013,8,35,0,7,0,2,0
UTTARAKHAND,CHAMPAWAT,2013,0,15,1,5,0,1,0
UTTARAKHAND,DEHRADUN,2013,41,148,9,62,27,159,0
UTTARAKHAND,HARIDWAR,2013,75,192,5,76,17,101,0
UTTARAKHAND,NAINITAL,2013,20,55,5,33,11,31,0
UTTARAKHAND,PAURI GARHWAL,2013,3,25,2,11,7,6,0
UTTARAKHAND,PITHORAGARH,2013,7,19,2,4,2,5,0
UTTARAKHAND,RUDRA PRAYAG,2013,5,10,4,1,3,3,0
UTTARAKHAND,TEHRI GARHWAL,2013,5,14,0,2,0,0,0
UTTARAKHAND,UDHAMSINGH NAGAR,2013,48,87,12,82,0,116,0
UTTARAKHAND,UTTARKASHI,2013,6,11,0,2,1,0,0
UTTARAKHAND,ZZ TOTAL,2013,228,633,43,295,72,435,0
WEST BENGAL,24 PARGANAS NORTH,2013,115,258,35,307,8,1716,0
WEST BENGAL,24 PARGANAS SOUTH,2013,189,397,49,212,2,1978,0
WEST BENGAL,ASANSOL,2013,31,87,15,73,1,467,0
WEST BENGAL,BANKURA,2013,24,36,19,76,0,278,0
WEST BENGAL,BDN CP,2013,17,43,6,77,6,229,0
WEST BENGAL,BIRBHUM,2013,41,45,12,99,0,245,0
WEST BENGAL,BKP CP,2013,41,132,21,197,7,705,0
WEST BENGAL,BURDWAN,2013,41,107,25,123,0,378,0
WEST BENGAL,COOCHBEHAR,2013,110,141,15,240,1,631,0
WEST BENGAL,DAKSHIN DINAJPUR,2013,35,100,32,69,0,345,0
WEST BENGAL,DARJEELING,2013,30,35,0,54,2,158,0
WEST BENGAL,HOOGHLY,2013,54,163,19,143,11,922,0
WEST BENGAL,HOWRAH,2013,23,92,10,131,4,682,0
WEST BENGAL,HOWRAH CITY,2013,22,141,3,215,48,609,0
WEST BENGAL,HOWRAH G.R.P.,2013,1,6,2,9,2,1,0
WEST BENGAL,JALPAIGURI,2013,121,263,12,305,2,779,0
WEST BENGAL,JHARGRAM,2013,10,17,6,42,2,62,0
WEST BENGAL,KHARAGPUR G.R.P.,2013,2,1,0,10,0,0,0
WEST BENGAL,KOLKATA,2013,75,145,15,707,412,1005,9
WEST BENGAL,MALDA,2013,140,182,14,177,0,597,0
WEST BENGAL,MURSHIDABAD,2013,215,341,35,407,7,1939,0
WEST BENGAL,NADIA,2013,87,346,69,213,13,1666,0
WEST BENGAL,PASCHIM MIDNAPUR,2013,46,155,25,327,17,549,0
WEST BENGAL,PURAB MIDNAPUR,2013,53,199,24,126,2,606,0
WEST BENGAL,PURULIA,2013,54,49,8,78,0,158,0
WEST BENGAL,SEALDAH G.R.P.,2013,2,10,0,45,1,2,0
WEST BENGAL,SILIGURI G.R.P.,2013,0,1,0,11,2,0,0
WEST BENGAL,SILIGURI_PC,2013,35,115,5,206,24,616,0
WEST BENGAL,UTTAR DINAJPUR,2013,71,223,5,234,3,793,0
WEST BENGAL,ZZ TOTAL,2013,1685,3830,481,4913,577,18116,9
A&N ISLANDS,CAR,2013,1,0,0,2,2,0,0
A&N ISLANDS,NORTH,2013,5,5,0,10,1,5,0
A&N ISLANDS,SOUTH,2013,21,7,1,33,5,4,0
A&N ISLANDS,ZZ TOTAL,2013,27,12,1,45,8,9,0
CHANDIGARH,CHANDIGARH,2013,45,174,1,143,26,92,0
CHANDIGARH,ZZ TOTAL,2013,45,174,1,143,26,92,0
D&N HAVELI,D&N HAVELI,2013,5,11,0,1,1,1,0
D&N HAVELI,ZZ TOTAL,2013,5,11,0,1,1,1,0
DAMAN & DIU,DAMAN,2013,7,4,0,2,0,2,0
DAMAN & DIU,DIU,2013,1,2,0,0,0,0,0
DAMAN & DIU,ZZ TOTAL,2013,8,6,0,2,0,2,0
DELHI UT,CAW,2013,0,0,0,1,0,202,0
DELHI UT,CENTRAL,2013,71,113,2,174,28,50,0
DELHI UT,CRIME BRANCH,2013,4,0,0,0,0,0,0
DELHI UT,EAST,2013,210,428,11,364,133,246,0
DELHI UT,EOW,2013,0,0,0,0,0,0,0
DELHI UT,GRP(RLY),2013,4,5,0,11,1,0,0
DELHI UT,IGI AIRPORT,2013,0,1,0,9,5,0,0
DELHI UT,METRO RAIL,2013,0,4,1,16,12,2,0
DELHI UT,NEW DELHI,2013,19,35,1,66,25,17,0
DELHI UT,NORTH,2013,53,151,9,164,25,107,0
DELHI UT,NORTH-EAST,2013,183,513,27,333,30,438,0
DELHI UT,NORTH-WEST,2013,143,343,17,301,45,236,0
DELHI UT,OUTER,2013,178,530,14,332,155,466,0
DELHI UT,SOUTH,2013,163,328,10,539,140,117,0
DELHI UT,SOUTH-EAST,2013,230,404,16,386,95,220,0
DELHI UT,SOUTH-WEST,2013,194,330,14,419,128,403,0
DELHI UT,STF,2013,0,0,0,0,0,0,0
DELHI UT,WEST,2013,184,424,22,400,94,529,0
DELHI UT,ZZ TOTAL,2013,1636,3609,144,3515,916,3033,0
LAKSHADWEEP,LAKSHADWEEP,2013,2,0,0,1,0,0,0
LAKSHADWEEP,ZZ TOTAL,2013,2,0,0,1,0,0,0
PUDUCHERRY,KARAIKAL,2013,6,2,1,1,1,1,0
PUDUCHERRY,PUDUCHERRY,2013,11,23,0,11,7,7,0
PUDUCHERRY,ZZ TOTAL,2013,17,25,1,12,8,8,0
